course_id|title|description|difficulty|platform_id|institution_id|rating|url|num_enrollments
1|Responsible Generative AI Specialization|Understand the potential benefits, use cases, and fundamentals of generative AI|Beginner|1|2|4.8|https://www.coursera.org/specializations/responsible-generative-ai|2859
2|Introduction to Artificial Intelligence (AI)|Describe what AI is and explain the core concepts related to AI|Beginner|1|3|4.7|https://www.coursera.org/learn/introduction-to-ai|566484
3|AI in Education: Leveraging ChatGPT for Teaching|Explore key concepts in generative AI.|Beginner|1|4|4.7|https://www.coursera.org/learn/wharton-ai-in-education-leveraging-chatgpt-for-teaching|15728
4|AI Agents and Agentic AI in Python: Powered by Generative AI Specialization|Build Autonomous AI Agents – Learn how to create AI agents in Python that can operate independently, interact with APIs, and handle real-world tasks.|Beginner|1|5|4.8|https://www.coursera.org/specializations/ai-agents-python|5761
5|Generative AI Content Creation|Understand the foundational concepts of generative AI and explore its diverse applications in design.||1|6|4.6|https://www.coursera.org/learn/generative-ai-content-creation|13322
6|The Future of Education with AI: Exploring Perspectives|How AI is Transforming Education – Gain insights from leading experts on how AI is reshaping teaching, learning, and access to education.|Beginner|1|5||https://www.coursera.org/learn/future-of-education-with-ai|0
7|Google Prompting Essentials|Practice using 5 steps to write effective prompts|Beginner|1|7|4.8|https://www.coursera.org/learn/google-prompting-essentials|57668
8|Microsoft AI & ML Engineering Professional Certificate|Design and Implement AI & ML Infrastructure: Develop environments, including data pipelines, model development frameworks, and deployment platforms.|Intermediate|1|1|4.6|https://www.coursera.org/professional-certificates/microsoft-ai-and-ml-engineering|13108
9|ChatGPT + Excel: AI-Enhanced Data Analysis & Insight Specialization|""|Beginner|1|5|4.9|https://www.coursera.org/specializations/chatgpt-excel|6460
10|Generative AI: Introduction and Applications|Describe generative AI and distinguish it from discriminative AI.|Beginner|1|3|4.7|https://www.coursera.org/learn/generative-ai-introduction-and-applications|170551
11|Microsoft Power BI Data Analyst Professional Certificate|Learn to use Power BI to connect to data sources and transform them into meaningful insights.|Beginner|1|1|4.6|https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst|290312
12|Introduction to Data Analytics|Explain what Data Analytics is and the key steps in the Data Analytics process|Beginner|1|3|4.8|https://www.coursera.org/learn/introduction-to-data-analytics|713479
